Item_ID	Sentence	Context	HasPrecedingContent	HasFollowingContent	IsInDisfluency	HasMoreThanOneOr	HasHedge	containsNumber	eitherPresent	orNotPresent	sentenceHasVP	head	maunalHedge
1239:63	but i think they should also respect the sanctity of the american home, whether it be in a house or in an apartment.	###uh-huh . E_S ###Yeah , E_S ###that 's true . E_S ###-NONE- Living in an apartment complex though , you know \[ you ca n't , \+ um , you ca n't \] really stop those people from -NONE- coming around even though they put up signs -N4021B3 out front that -N4021C6 says no solicitations , uh , E_S ###but they still come up to the front door and , uh , you know , walk around . E_S ###So , usually what I do -N402489 is -NONE- I 'll call the apartment manager and tell them hey , there 's people coming around , you know , E_S ###and they 're trying -N402609 to sell something E_S ###\[ or , \+ or \] they 're from a religious organization E_S ###and I really hate that . E_S ###I really , really do . E_S ###I had somebody come to the door about two weeks ago E_S ###and , uh , gosh it was about nine o'clock at night , too . E_S ###It was n't even what I would consider -N4028EA , you know , family hours , E_S ###time -NONE- -NONE- to , you know , start -N4029CD going to bed -N4029E0 E_S ###\[ and \+ uh , and \] it was somebody from , um , oh what was it -N402ABF , the , uh , Jesus Christ of Latter Day Saints , E_S ###and uh , I 've read a lot about , uh , that particular sect E_S ###and I do n't particularly care for it , E_S ###so I especially do n't like for them to come up to my door \[ and , \+ and \] try and talk to me . E_S ###SpeakerA19*t19 . ###Now , I agree with their right -NONE- to , uh , pursue their religion of choice , in \[ that , \+ whatever \] manner -NONE- they want -N402E9F to -NONE- -N402EAE , E_S 	yes	yes	no	no	no	no	no	no	yes	S	no
1256:174	and that, that's one thing that i feel really strongly about --n403ace though, is, uh, you know, people --n403afd coming up to my door, and especially religious organizations and wanting --n403b34 to uh, you know, to try and get me to join or, you know, become interested in their religion,	###so I especially do n't like for them to come up to my door \[ and , \+ and \] try and talk to me . E_S ###SpeakerA19*t19 . ###Now , I agree with their right -NONE- to , uh , pursue their religion of choice , in \[ that , \+ whatever \] manner -NONE- they want -N402E9F to -NONE- -N402EAE , E_S ###but I think -NONE- they should also respect the sanctity of the American home , whether it be in a house or in an apartment . E_S ###I 'm on my turf , E_S ###if I want them there , I 'll call for them , E_S ###otherwise , I do n't want -N403233 to know -NONE- they exist . E_S ###SpeakerB20*t20 . ###Yeah , E_S ###yeah , E_S ###no , E_S ###\[ I , \+ I \] agree with you there . E_S ###If they want -N4033B0 to choose that particular religion that 's fine with me too , you know , as long as they do n't try and pull me in and drag me in . E_S ###\[ And , \+ and \] I do n't like the way that they do it either -N4035A6 , E_S ###\[ and , \+ and , \] it -N403670 's their mission that they do it . E_S ###They go door to door E_S ###and they go out into the public E_S ###and they actually have the , uh , teenagers serving two years \[ like \+ you would say like \] in an army and two years in -NONE- going around and doing missionary type work E_S ###and , uh , I do n't know , E_S ###I just , um , do n't particularly care for that at all . E_S 	yes	yes	no	no	no	no	no	no	yes	S	no
1265:65	i should have, i guess i should make another one that --n40427d says religious or otherwise, cause i still get,	###yeah , E_S ###no , E_S ###\[ I , \+ I \] agree with you there . E_S ###If they want -N4033B0 to choose that particular religion that 's fine with me too , you know , as long as they do n't try and pull me in and drag me in . E_S ###\[ And , \+ and \] I do n't like the way that they do it either -N4035A6 , E_S ###\[ and , \+ and , \] it -N403670 's their mission that they do it . E_S ###They go door to door E_S ###and they go out into the public E_S ###and they actually have the , uh , teenagers serving two years \[ like \+ you would say like \] in an army and two years in -NONE- going around and doing missionary type work E_S ###and , uh , I do n't know , E_S ###I just , um , do n't particularly care for that at all . E_S ###And \[ that , \+ that 's \] one thing that I feel really strongly about -N403ACE though , is , uh , you know , people -N403AFD coming up to my door , and especially religious organizations and wanting -N403B34 \[ to \+ uh , you know , to \] try and get me to join or , you know , become interested in their religion , E_S ###because I have my own . E_S ###SpeakerA21*t21 . ###Now the part about where you said -NONE- the apartment complex puts up signs that -N403E83 says no soliciting -N403E96 , E_S ###I 've even gone so far as -N403F92 to put that , E_S ###I 've got a storm door on the front of the house E_S ###and I 've put , in , E_S ###I do n't know how much clearer it can be -N40413C , E_S ###it 's a red sign with silver letters saying no soliciting . E_S 	yes	yes	no	no	no	no	no	no	yes	S	no
1433:51	i mean people will just look at you as a person and not as a man or a woman,	###SpeakerB29*t29 . ###Because women are in every field now , E_S ###I mean I ca n't think of a field that they 're not involved in -N40130E . E_S ###SpeakerA30*t30 . ###Oh , I ca n't either , E_S ###not a one . E_S ###SpeakerB31*t31 . ###And I know -NONE- at least in the medical field , it seems like they 've come out with a lot further advances as far as female medications and things since women have gotten into the doctor field . E_S ###SpeakerA32*t32 . ###Uh-huh . E_S ###SpeakerB33*t33 . ###I do n't think that men really took the time -NONE- -NONE- to work on that sort of thing -N40167B . E_S ###SpeakerA34*t34 . ###Yeah , E_S ###even in Washington , you know , there seems -N401793 to be a lot more women involved . E_S ###SpeakerB35*t35 . ###Yeah . E_S ###SpeakerA36*t35 . ###SpeakerB37*t37 . ###Hopefully , the next generation , it wo n't even be an issue , E_S 	yes	yes	no	no	no	no	no	no	yes	S	no
1502:41	i would just take her the actual paperwork once, uh, every week or two,	###Oh , yeah . E_S ###SpeakerB55*t54 . ###SpeakerA56*t56 . ###As a matter of fact , that 's what I 'm doing -N40287A . E_S ###SpeakerB57*t57 . ###Is it -NONE- . E_S ###SpeakerA58*t58 . ###Uh-huh , E_S ###it sure is -NONE- . E_S ###SpeakerB59*t59 . ###That would be great . E_S ###SpeakerA60*t60 . ###It sure is -NONE- . E_S ###SpeakerB61*t61 . ###Or , a lot of women -NONE- I know now -N402A5A and \[ my , \+ uh , one of my \] supervisors , when she went on L O A -N402AA5 to have her baby -N402ABC , we hooked up , uh , uh , a terminal at her house E_S ###and \[ she , \+ you know , we \] could send her messages , E_S ###\[ and , \+ and \] she kept in touch like that , and basically , just worked out of her house . E_S ###SpeakerA62*t62 . ###Oh . E_S ###SpeakerB63*t63 . 	yes	yes	no	no	no	yes	no	no	yes	S	no
1592:58	so you don't have --n4047e5 to, you know, unless you're just really sick, or the child's sick.	###My son 's just in day-care E_S ###but even that they have extracurricular activities E_S ###and -NONE- the older -NONE- they get -N404165 the more that you 're involved in that . E_S ###SpeakerA88*t88 . ###Uh-huh . E_S ###I think -NONE- it 's great , E_S ###I really , E_S ###SpeakerB89*t89 . ###Yeah , E_S ###SpeakerA90*t90 . ###and I look for more of that in the next generation . E_S ###SpeakerB91*t91 . ###I do too , especially as women get up in management \[ and , \+ and \] can be in on those decision making , E_S ###you know , when that subject comes up -N4044F4 they can say yes , E_S ###that would be wonderful . E_S ###SpeakerA92*t92 . ###Yes , E_S ###oh , I do too . E_S ###SpeakerB93*t93 . ###Plus , I bet -NONE- it \[ cuts , \+ cuts \] down on your absenteeism because you 've got two days off that you can do everything -N4046B2 , E_S 	yes	yes	no	no	no	no	no	no	yes	S	no
1730:76	the one thing i do object to --n4016e5 about rap music is, is when it becomes militant --n401714, or, if it's, uh, violence oriented.	###But , the , uh , E_S ###there 's such a wide selection , E_S ###\[ I think -NONE- I like a lot , \+ I like a little bit of a lot of \] different types of music . E_S ###You know , \[ I , \+ I , \] \+ I \] like music \[ that -N40109D is , \+ that I feel \] E_S ###if it is performed -N4011E6 correctly or if it 's done -N401205 right , or if the version is done -N40122C right , I like it , E_S ###SpeakerA15*t15 . ###Yeah . E_S ###SpeakerB16*t16 . ###but , \[ if , \+ if \] it 's not -NONE- , then I wo n't -NONE- . E_S ###\[ I , \+ I \] really do n't , E_S ###SpeakerA17*t17 . ###How do you feel -N4014BB about rap music . E_S ###SpeakerB18*t18 . ###Rap . E_S ###SpeakerA19*t19 . ###It seems -N401545 to be so popular these days . E_S ###SpeakerB20*t20 . ###Yeah . E_S ###Well , \[ I , \+ I \] do n't really have anything against rap music . E_S ###I , E_S 	yes	yes	no	no	no	no	no	no	yes	S	no
1756:89	the, the piece of music, the piece of music was about, i think --n401e2f about forty or fifty years old.	###SpeakerB24*t24 . ###\[ I , \+ I \] have strong objections to that . E_S ###Um , actually I listen to , E_S ###one time -NONE- I remember -N4019BD , this was back when , even , uh , I would say -N4019FC about ten or fifteen years ago I , E_S ###SpeakerA25*t25 . ###When it was really just starting -N401B3E . E_S ###SpeakerB26*t26 . ###Yeah , E_S ###right E_S ###when it was just starting -N401BDE , I heard what -N401BF5 was called -N401C04 talking blues , which -N401C1B actually is rap . E_S ###SpeakerA27*t27 . ###Yeah . E_S ###SpeakerB28*t27 . ###SpeakerA29*t29 . ###Uh-huh . E_S ###SpeakerB30*t29 . ###SpeakerA31*t31 . ###Uh-huh . E_S ###SpeakerB32*t32 . ###And , uh , it was about , E_S 	yes	yes	no	no	no	yes	no	no	yes	S-N401E2F	no
1786:119	i think it's kind of absurd, you know, the fact that, you know, they don't really, they don't really give, you know, the original artist, or the original composer, the credit that --n402dd5 is really due to them.	###It seemed -N4023E6 to be influenced -N4023F9 by a lot of different music . E_S ###A lot of times you 'll hear songs that you know , -NONE- -N4024CE they 're not original , but have been put -N4024F9 to a rap kind of a rhythm . E_S ###SpeakerB36*t36 . ###Yeah . E_S ###SpeakerA37*t37 . ###And , uh , \[ sounds , \+ it sounds \] so much different E_S ###and yet , \[ I , \+ I \] have a much younger sister who -N402728 listens to a lot of rap music E_S ###and , uh , she thinks -NONE- it -N40283A 's pretty funny how often I know all of the words to songs that she 's listening to -N402889 -N402890 , E_S ###and yet , she thought -NONE- they were brand new , original pieces . E_S ###SpeakerB38*t38 . ###Yeah . E_S ###SpeakerA39*t38 . ###SpeakerB40*t40 . ###Yeah . E_S ###SpeakerA41*t40 . ###SpeakerB42*t42 . ###\[ they , \+ they do , \] \+ they do copy versions , \] \+ they do cover versions \] \[ of , \+ of , \] you know , like standards , I guess -NONE- you could call it . E_S ###SpeakerA43*t43 . ###That 's right . E_S ###SpeakerB44*t44 . 	yes	yes	no	no	no	no	no	no	yes	S	no
2067:114	and i made a lotus spreadsheet and went through the year --n400249 using all of our, our checkbook --n40026c to figure out what we spent --n40028b each time and whether we were over or under for each month	###\[ I , \+ I \] listened E_S ###and , I heard , you know , E_S ###you hear this guitar , E_S ###and then you hear the muted trumpet . E_S ###I E_S ###me , E_S ###and you never would think \[ that they , \+ that they \] can actually play together E_S ###but , E_S ###SpeakerA135*t135 . ###Oh yeah . E_S ###SpeakerB136*t135 . ###SpeakerA1*t1 . ###Okay , E_S ###so , um , E_S ###yes E_S ###\[ we do keep , \+ uh , well we started out -N400099 keeping \] a budget about two years , ago , E_S ###we have a computer , here at the house , E_S ###SpeakerB2*t2 . ###Uh-huh . E_S ###SpeakerA3*t3 . 	yes	yes	no	no	no	no	no	no	yes	S	no
2091:43	we've set a budget for each, you know, household expenses, or food, and clothing and entertainment and then our, our own fun money and just stuff like that	###that 's \[ our , \+ our \] biggest , uh , expense E_S ###so I take half of that amount out of my checkbook \[ each , \+ with each \] paycheck , even thought it 's really still there , so that I can keep , uh , uh , good balance , a running total , yeah through the month , E_S ###SpeakerB4*t4 . ###Uh-huh . E_S ###SpeakerA5*t4 . ###SpeakerB6*t6 . ###Uh-huh . E_S ###SpeakerA7*t6 . ###SpeakerB8*t8 . ###A running total . E_S ###SpeakerA9*t8 . ###SpeakerB10*t10 . ###Yeah . E_S ###SpeakerA11*t11 . ###What do you all do -N400B65 . E_S ###SpeakerB12*t12 . ###Uh , \[ we 've , \+ we 've , \] uh , taken how much we have -N400BF7 , you know , write down how much we have -N400C26 coming in each month E_S ###and then , uh , we 've , E_S ###at the beginning of the year we sat down and determined how much we could spend -N400E2D . E_S ###We \[ sat dow- , \+ made up \] different accounts like , you know , E_S 	yes	yes	no	no	no	no	no	no	yes	S	no
2178:23	when i retired from there, or left --n40357e, i took the money i that i had --n4035ad in mine and put it in an i r a	###\[ he ha- , \+ you know , his \] retirement plan and then to CODA and stuff like that , that 's all -NONE- we , E_S ###and you know , we just have our life insurance for right now . E_S ###SpeakerA37*t37 . ###Uh-huh . E_S ###SpeakerB38*t38 . ###So , we do n't have any long term , you know , in stocks , or anything like that right now , E_S ###so . E_S ###SpeakerA39*t39 . ###Yeah , E_S ###mostly what \[ we 're doing , \+ we 've worked , \] \+ we 've done \] -N403075 the , uh , CODA account with T I where \[ they , \+ we \] put in so much a month -N4030C8 , E_S ###\[ and then they , \+ E_S ###or so much a pay check E_S ###and then they \] match it . E_S ###SpeakerB40*t40 . ###Yeah , E_S ###that 's what we 're doing -N40338C . E_S ###SpeakerA41*t41 . ###So \[ that 's , \+ that 's \] worked out pretty good E_S ###and then , I used -N4034A8 to work for T I E_S ###and I have , E_S 	yes	yes	no	no	no	no	no	no	yes	S	no
2400:31	you could almost label everything quality in some sense or other	###SpeakerA49*t49 . ###I do n't know , E_S ###I 'm not sure -NONE- I could take too much of Stephen King . E_S ###That 's a \[ little , \+ little \] heavy for me . E_S ###SpeakerB50*t50 . ###Yeah , E_S ###\[ they 're , uh , quite , \+ uh , they 're \] hard -NONE- -NONE- to set -N40439B down because it 's so interesting E_S ###and , of course , they 're all just a little spookier than the movies , E_S ###but , uh , \[ it 's always , \+ they 're always \] challenging -NONE- -NONE- to get through -N4045AC one of them . E_S ###SpeakerA51*t51 . ###Yeah . E_S ###SpeakerB52*t52 . ###I have a hard time -NONE- finishing books . E_S ###SpeakerA53*t53 . ###Well I guess -NONE- I also have been reading , uh , a lot of things on , uh , quality improvement and that type of thing because that 's what I 'm involved in -N4047D7 a lot at work . E_S ###SpeakerB54*t54 . ###Uh-huh . E_S ###In quality , especially now days , uh , that 's almost everything that -N4049AF comes across \[ the , \+ the , \] \+ the \] airways MUMBLEx . E_S ###SpeakerA55*t55 . ###Oh , yeah , E_S 	yes	yes	no	no	no	no	no	no	yes	S	no
2420:30	i need --n40534f to probably make a phone call or two.	###you could almost label everything quality in some sense or other E_S ###but , uh , I think -NONE- sometimes the word is a little over used E_S ###SpeakerB56*t56 . ###\[ Exactly , \+ exactly \] right . E_S ###SpeakerA57*t57 . ###but , E_S ###SpeakerB58*t58 . ###Yeah , \[ we , \+ we have , \] \+ I think -NONE- \[ we , \+ we \] name \] drop it a little too much \[ and , \+ and \] do n't fully understand \[ what , \+ what \] it is -N404D99 -NONE- we 're saying . E_S ###I think -NONE- it 's just focusing in on the issue and walking your talk E_S ###\[ and , \+ and \] all that kind of rolls in together there , E_S ###SpeakerA59*t59 . ###Yeah . E_S ###SpeakerB60*t60 . ###but , uh , that 's just kind of part of it . E_S ###SpeakerA61*t61 . ###Okay , E_S ###well , any other comments . E_S ###SpeakerB62*t62 . ###Uh , not that I can think of -N405232 . E_S ###Um , I think -NONE- I 'm under my quota a little bit . E_S 	yes	yes	no	no	no	yes	no	no	yes	S	no
2462:69	but if we're going --n400f75 to have a meeting, where we're having the attorneys --n400fa8 come in, or people from, uh, other party's attorneys and stuff --n400feb, then i normally dress up.	###SpeakerB2*t1 . ###SpeakerA3*t3 . ###It 's pretty bad , E_S ###but it 's true , you know , E_S ###they tend -N40032A to try -N400339 to be , you know , real lax E_S ###and supposedly the policy is like , you know , \[ we , \+ you know , we , \] hire these wonderful creative people E_S ###and we do n't want -N400531 to smush their creativity , you know . E_S ###We want -N4005DE to go ahead and let them do what ever they want -N400611 . E_S ###And , you know , you really will see people \[ in \+ in \] jeans one day and business suits the next . E_S ###SpeakerB4*t4 . ###Well , I 'm kind of that way too . E_S ###I work in the legal department E_S ###and where we are -N4008CA now , what we 're doing -N4008E9 is some very big lawsuits that -N400908 happen -N400913 to have a heck of a lot of boxes of documents . E_S ###SpeakerA5*t5 . ###Yeah . E_S ###SpeakerB6*t6 . ###And I get to -NONE- toting around boxes of documents several times a day , E_S ###it always seems like I 'm doing that E_S ###and I ca n't see -N400C08 getting dressed up and wearing heels and stuff when you have -N400C3B to carry , you know , boxes of documents around -N400C6A , E_S ###so , if I 'm just going -N400DAB to be there working in the litigation center and doing , you know , odds and ends and stuff with the boxes of documents , I dress down . E_S 	yes	yes	no	no	no	no	no	no	yes	S	no
